-,Arabic,Azerbaijan,Bengali,Chinese,Spanish,Persian,Gujarati,Hindi,Indonesia,Italian,Japanese,Kannada,Malayalam,Marathi,Malay,Odia,Portuguese,Russian,sinhala,தமிழ்,Turkish
pmbot_5,,❌,❌,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
pmbot_6,,❌,❌,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
pmbot_7,,❌,❌,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
vcbot_1,,,,❌,,,❌,,,❌,,❌,❌,,❌,❌,,,❌,❌,❌
vcbot_2,,,,❌,,,❌,,,❌,,❌,❌,,❌,❌,,,❌,❌,❌
vcbot_3,,,,❌,,,❌,,,❌,,❌,❌,,❌,❌,,,❌,❌,❌
vcbot_4,,,,❌,,,❌,,,❌,,❌,❌,,❌,❌,,,❌,❌,❌
vcbot_5,,,,❌,,,❌,,,❌,,❌,❌,,❌,❌,,,❌,❌,❌
vcbot_6,,,,❌,,,❌,,,❌,,❌,❌,,❌,❌,,,❌,❌,❌
vcbot_7,,,,❌,,,❌,,,❌,,❌,❌,,❌,❌,,,❌,❌,❌
vcbot_8,,,,❌,,,❌,,,❌,,❌,❌,,❌,❌,,,❌,❌,❌
vcbot_9,,,,❌,,,❌,,,❌,,❌,❌,,❌,❌,,,❌,❌,❌
vcbot_10,,,,❌,,,❌,,,❌,,❌,❌,,❌,❌,,,❌,❌,❌
vcbot_11,,,,❌,,,❌,,,❌,,❌,❌,,❌,❌,,,❌,❌,❌
vcbot_12,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
vcbot_13,,,,❌,,,❌,,,❌,,❌,❌,,❌,❌,,,❌,❌,❌
vcbot_14,,,,❌,,,❌,,,❌,,❌,❌,,❌,❌,,,❌,❌,❌
vcbot_15,,,,❌,,,❌,,,❌,,❌,❌,,❌,❌,,,❌,❌,❌
vcbot_16,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
vcbot_17,,,,❌,,,❌,,,❌,,❌,❌,,❌,❌,,,❌,❌,❌
vcbot_18,,,,❌,,,❌,,,❌,,❌,❌,,❌,❌,,,❌,❌,❌
vcbot_19,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
vcbot_20,,,,❌,,,❌,,,❌,,❌,❌,,❌,❌,,,❌,❌,❌
vcbot_21,,,,❌,,,❌,,,❌,,❌,❌,,❌,❌,,,❌,❌,❌
vcbot_22,,,,❌,,,❌,,,❌,,❌,❌,,❌,❌,,,❌,❌,❌
